                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3088,                 4.8296,                 2.0873,                0.77999,                0.03155,                0.02719,                0.02039,                 2.2334,                 4.9748,                 2.1271,               0.070309,               0.003299,               0.003299
                      1,                 1.8798,                 3.2909,                 1.7993,                0.36378,                 0.0831,                0.03298,                0.02349,                 2.2946,                 3.9881,                 2.1159,               0.040287,              0.0066104,              0.0066104
                      2,                 1.8255,                 2.9934,                  1.673,                0.43507,                0.10073,                0.02878,                0.02237,                 2.4262,                 6.1028,                  2.121,               0.010244,              0.0098999,              0.0098999
                      3,                 1.8345,                 2.8744,                 1.6843,                0.33274,                0.10614,                0.06846,                0.04704,                 2.1516,                  3.877,                 2.0767,               0.009901,               0.009901,               0.009901
                      4,                 1.7914,                 2.7611,                 1.6456,                0.17833,                0.15556,                 0.0775,                0.05624,                 2.1269,                 4.5677,                  1.953,               0.009901,               0.009901,               0.009901
                      5,                 1.7941,                  2.702,                 1.6305,                0.29104,                0.19112,                0.09871,                0.06441,                 1.9304,                 3.8081,                 1.8235,               0.009868,               0.009868,               0.009868
                      6,                 1.7244,                 2.6091,                 1.6009,                0.35968,                0.09649,                0.05677,                0.04206,                 2.3094,                 4.5967,                 2.2024,               0.009835,               0.009835,               0.009835
                      7,                 1.7385,                  2.586,                 1.6118,                0.50368,                0.15475,                0.11295,                  0.068,                 2.0199,                 4.0062,                 1.8616,               0.009802,               0.009802,               0.009802
                      8,                 1.7126,                 2.5263,                 1.5985,                0.27817,                 0.1395,                0.09388,                0.06841,                 2.1545,                 3.6452,                 1.9696,               0.009769,               0.009769,               0.009769
                      9,                 1.6953,                 2.4876,                 1.5835,                0.42698,                0.14209,                0.11391,                0.07957,                 1.9511,                 3.4152,                 1.8187,               0.009736,               0.009736,               0.009736
                     10,                 1.7108,                 2.4952,                 1.5885,                 0.1897,                0.17483,                0.07582,                0.04573,                 2.0484,                 3.9497,                 1.8924,               0.009703,               0.009703,               0.009703
                     11,                 1.7007,                 2.4696,                 1.5644,                0.26286,                0.17039,                0.11732,                0.08232,                 1.9073,                 3.8409,                 1.7501,                0.00967,                0.00967,                0.00967
                     12,                 1.6753,                 2.4489,                  1.565,                 0.1522,                0.23493,                0.12482,                0.08514,                 1.8758,                 3.7833,                 1.7476,               0.009637,               0.009637,               0.009637
                     13,                 1.6671,                 2.4089,                 1.5626,                0.15389,                0.16006,                0.08289,                0.05818,                 2.0461,                 3.4782,                 1.7985,               0.009604,               0.009604,               0.009604
                     14,                 1.6464,                 2.3611,                 1.5557,                0.43186,                0.15341,                0.11703,                0.08475,                 1.9667,                 3.2129,                 1.8794,               0.009571,               0.009571,               0.009571
                     15,                 1.6622,                 2.3737,                 1.5502,                0.19213,                0.24187,                0.14787,                0.09784,                 1.8977,                 3.0844,                 1.6975,               0.009538,               0.009538,               0.009538
                     16,                 1.6238,                  2.334,                 1.5167,                0.20235,                0.23753,                0.13284,                0.08068,                 1.8382,                  2.986,                 1.6727,               0.009505,               0.009505,               0.009505
                     17,                 1.6178,                 2.3342,                 1.5234,                0.22874,                0.20871,                0.13597,                0.09313,                 1.8777,                 2.9855,                 1.7068,               0.009472,               0.009472,               0.009472
                     18,                 1.6137,                 2.3087,                 1.5193,                 0.1962,                0.20546,                 0.1133,                0.08056,                 1.9781,                 3.8574,                 1.7834,               0.009439,               0.009439,               0.009439
                     19,                 1.6149,                 2.2613,                 1.5016,                0.26587,                0.24297,                 0.1369,                0.09412,                 1.8124,                 3.2874,                 1.6735,               0.009406,               0.009406,               0.009406
                     20,                 1.5551,                 2.2403,                 1.4796,                 0.2374,                0.23018,                0.14771,                0.10203,                 1.8733,                  3.053,                 1.6963,               0.009373,               0.009373,               0.009373
                     21,                 1.5792,                  2.245,                 1.4947,                0.13975,                0.20996,                0.13943,                 0.0974,                 1.8149,                 3.1027,                 1.7183,                0.00934,                0.00934,                0.00934
                     22,                  1.586,                  2.242,                 1.4989,                0.15213,                0.26128,                0.16265,                 0.1105,                 1.8306,                 2.8705,                 1.6372,               0.009307,               0.009307,               0.009307
                     23,                 1.5795,                  2.195,                 1.4844,                0.17864,                0.24235,                0.16538,                0.11275,                 1.7988,                  2.951,                 1.6445,               0.009274,               0.009274,               0.009274
                     24,                  1.563,                 2.1781,                 1.4671,                0.16673,                0.24834,                0.15574,                 0.1035,                  1.811,                 2.9312,                 1.6879,               0.009241,               0.009241,               0.009241
                     25,                  1.543,                 2.1463,                 1.4835,                0.16344,                0.28687,                0.16421,                0.10793,                 1.7893,                 2.9136,                 1.6021,               0.009208,               0.009208,               0.009208
                     26,                 1.5357,                 2.1348,                 1.4722,                0.13199,                0.24829,                0.16211,                0.11131,                 1.8177,                 3.1509,                 1.6592,               0.009175,               0.009175,               0.009175
                     27,                 1.5184,                 2.1197,                 1.4524,                0.15912,                0.24204,                0.16802,                0.11303,                 1.8072,                 3.0917,                 1.6332,               0.009142,               0.009142,               0.009142
                     28,                 1.5306,                 2.1183,                  1.455,                0.21049,                0.25137,                0.15606,                0.10493,                 1.7982,                 2.9747,                  1.632,               0.009109,               0.009109,               0.009109
                     29,                 1.5329,                 2.1352,                 1.4506,                0.19441,                0.26431,                0.16279,                 0.1096,                 1.7295,                 2.9316,                 1.6108,               0.009076,               0.009076,               0.009076
                     30,                 1.5322,                 2.0863,                 1.4575,                0.22392,                0.28028,                0.16951,                0.11506,                 1.7858,                 2.8768,                 1.6179,               0.009043,               0.009043,               0.009043
                     31,                  1.527,                 2.0844,                 1.4625,                0.24551,                0.27874,                0.17099,                0.11459,                 1.7668,                 3.0828,                  1.611,                0.00901,                0.00901,                0.00901
                     32,                 1.5065,                 2.0659,                 1.4338,                0.15576,                0.28758,                0.16673,                0.11272,                 1.8314,                 3.0424,                 1.6556,               0.008977,               0.008977,               0.008977
                     33,                 1.5085,                 2.0482,                 1.4405,                0.34985,                0.22401,                0.16803,                0.11403,                 1.7493,                 3.0444,                 1.5978,               0.008944,               0.008944,               0.008944
                     34,                 1.4604,                 2.0014,                 1.4247,                0.18416,                0.23946,                0.15359,                0.10712,                 1.7992,                 2.9002,                 1.6603,               0.008911,               0.008911,               0.008911
                     35,                  1.509,                 2.0269,                 1.4499,                0.29889,                0.27317,                0.17546,                0.12019,                 1.7465,                 2.7954,                 1.6091,               0.008878,               0.008878,               0.008878
                     36,                  1.495,                 2.0158,                 1.4282,                0.25339,                0.26415,                0.18333,                 0.1254,                 1.7844,                 3.0464,                 1.5849,               0.008845,               0.008845,               0.008845
                     37,                 1.4666,                  1.957,                 1.4176,                0.26382,                0.25005,                0.19382,                0.12925,                 1.7488,                 2.8706,                 1.6392,               0.008812,               0.008812,               0.008812
                     38,                 1.4822,                 1.9891,                 1.4209,                0.18084,                0.29476,                0.16921,                0.11427,                 1.7245,                 3.0942,                  1.604,               0.008779,               0.008779,               0.008779
                     39,                 1.4551,                 1.9461,                 1.4026,                0.26517,                0.26804,                0.18294,                0.12556,                 1.7525,                 2.9122,                 1.6019,               0.008746,               0.008746,               0.008746
                     40,                 1.4811,                 1.9733,                 1.4168,                0.16864,                0.27499,                0.18516,                0.12631,                 1.7484,                 2.9359,                 1.5679,               0.008713,               0.008713,               0.008713
                     41,                  1.493,                 1.9487,                 1.4209,                0.24554,                0.26921,                0.18417,                0.12363,                 1.7656,                  2.983,                 1.5935,                0.00868,                0.00868,                0.00868
                     42,                 1.4486,                 1.9076,                 1.4029,                0.16522,                0.28056,                0.17317,                0.11841,                 1.7844,                 2.8963,                 1.6306,               0.008647,               0.008647,               0.008647
                     43,                  1.471,                 1.9484,                 1.4113,                0.18635,                0.28123,                0.18796,                0.12259,                 1.7376,                 2.7535,                 1.5774,               0.008614,               0.008614,               0.008614
                     44,                 1.4418,                 1.8833,                 1.3857,                0.27907,                0.27606,                0.19373,                0.12662,                 1.7195,                 2.8535,                 1.5652,               0.008581,               0.008581,               0.008581
                     45,                 1.4391,                 1.8987,                 1.3891,                0.15464,                0.22552,                0.15866,                0.10827,                 1.8328,                 2.9844,                 1.6483,               0.008548,               0.008548,               0.008548
                     46,                  1.418,                 1.8635,                 1.3845,                0.19005,                0.31357,                0.18028,                0.12183,                 1.7397,                 2.9056,                 1.5874,               0.008515,               0.008515,               0.008515
                     47,                 1.4348,                 1.8938,                 1.3925,                0.19807,                0.29066,                0.18487,                0.12568,                  1.751,                 3.2257,                 1.6128,               0.008482,               0.008482,               0.008482
                     48,                 1.4509,                  1.873,                 1.4055,                0.20091,                0.28914,                0.19136,                0.13002,                 1.7105,                 2.9451,                 1.5748,               0.008449,               0.008449,               0.008449
                     49,                  1.433,                 1.8678,                 1.3853,                0.19926,                0.32405,                0.18484,                0.12227,                  1.747,                 2.7906,                 1.6219,               0.008416,               0.008416,               0.008416
                     50,                  1.419,                 1.8234,                 1.3782,                0.28166,                0.27448,                0.18713,                0.12335,                 1.7802,                 2.9547,                 1.5971,               0.008383,               0.008383,               0.008383
                     51,                 1.3959,                 1.8064,                 1.3616,                0.22253,                0.28367,                0.19994,                0.13526,                 1.7265,                 2.9419,                 1.5848,                0.00835,                0.00835,                0.00835
                     52,                 1.4426,                 1.8438,                 1.3854,                0.19679,                0.34449,                0.18469,                0.12622,                 1.7426,                 2.8786,                 1.6107,               0.008317,               0.008317,               0.008317
                     53,                 1.3888,                 1.8071,                 1.3601,                0.21192,                0.28611,                0.17634,                0.11809,                 1.7794,                 3.0777,                 1.6171,               0.008284,               0.008284,               0.008284
                     54,                 1.4071,                 1.8114,                 1.3654,                0.20632,                0.28018,                 0.1901,                 0.1264,                 1.7604,                 2.9424,                 1.5683,               0.008251,               0.008251,               0.008251
                     55,                 1.4068,                 1.7905,                 1.3589,                0.22638,                0.31174,                0.19335,                0.12788,                 1.6776,                 3.0111,                 1.5769,               0.008218,               0.008218,               0.008218
                     56,                 1.3781,                 1.7783,                 1.3573,                0.20766,                0.24903,                0.17614,                0.12022,                 1.7612,                 2.8569,                 1.6007,               0.008185,               0.008185,               0.008185
                     57,                 1.3969,                 1.7702,                 1.3596,                0.23752,                0.23749,                0.15788,                0.10747,                 1.7979,                 3.0527,                 1.6328,               0.008152,               0.008152,               0.008152
                     58,                 1.3655,                 1.7088,                 1.3383,                0.20534,                0.30484,                 0.1838,                0.12524,                 1.7463,                 3.0567,                 1.6059,               0.008119,               0.008119,               0.008119
                     59,                  1.387,                  1.741,                 1.3467,                0.22119,                0.27368,                0.18661,                0.12508,                 1.7215,                 2.8599,                 1.5821,               0.008086,               0.008086,               0.008086
                     60,                 1.3838,                 1.7293,                 1.3439,                0.23262,                0.28094,                0.19075,                0.12763,                 1.6792,                 3.0399,                 1.5684,               0.008053,               0.008053,               0.008053
                     61,                 1.3785,                 1.7354,                 1.3516,                0.20311,                0.28491,                0.19235,                0.12773,                 1.6995,                 3.1029,                 1.5824,                0.00802,                0.00802,                0.00802
                     62,                 1.3588,                 1.6809,                  1.332,                0.20674,                0.30646,                0.18416,                 0.1232,                  1.693,                  3.059,                 1.5881,               0.007987,               0.007987,               0.007987
                     63,                 1.3415,                 1.6601,                 1.3293,                0.19046,                0.29561,                0.18683,                0.12619,                 1.7832,                 3.1369,                   1.66,               0.007954,               0.007954,               0.007954
                     64,                 1.3776,                 1.6797,                 1.3476,                0.18743,                0.34768,                0.18617,                0.12184,                 1.7273,                 2.9472,                 1.6214,               0.007921,               0.007921,               0.007921
                     65,                 1.3493,                 1.6567,                 1.3249,                0.20086,                0.30992,                0.17605,                 0.1184,                 1.6813,                 3.2631,                 1.5903,               0.007888,               0.007888,               0.007888
                     66,                 1.3114,                 1.6223,                 1.3163,                0.19765,                 0.3133,                0.18549,                0.12685,                 1.7058,                 2.9756,                 1.5885,               0.007855,               0.007855,               0.007855
                     67,                 1.3582,                 1.6793,                 1.3253,                0.19581,                0.35826,                0.18035,                0.12239,                  1.736,                  3.208,                 1.6036,               0.007822,               0.007822,               0.007822
                     68,                 1.3567,                 1.6617,                 1.3345,                0.19836,                0.32794,                0.19661,                0.13348,                 1.7266,                 3.0093,                 1.5998,               0.007789,               0.007789,               0.007789
                     69,                 1.3314,                  1.616,                 1.3244,                0.20689,                0.32938,                0.19403,                0.12935,                 1.7113,                 3.2918,                 1.6168,               0.007756,               0.007756,               0.007756
                     70,                 1.3084,                 1.5854,                 1.3024,                0.21606,                0.30751,                0.19251,                0.12831,                 1.7182,                 3.2228,                 1.6065,               0.007723,               0.007723,               0.007723
                     71,                 1.3167,                 1.5742,                 1.3071,                0.22229,                0.29885,                0.19961,                0.13309,                 1.7203,                 3.0552,                 1.5772,                0.00769,                0.00769,                0.00769
                     72,                 1.3127,                 1.5754,                 1.3017,                0.21011,                0.32046,                0.19964,                0.13276,                 1.7692,                 2.9086,                 1.6461,               0.007657,               0.007657,               0.007657
                     73,                 1.3061,                 1.5685,                 1.3049,                0.19414,                0.33687,                0.18406,                0.12563,                 1.6853,                 3.2649,                 1.5778,               0.007624,               0.007624,               0.007624
                     74,                 1.3012,                 1.5301,                 1.2975,                0.20904,                0.33811,                0.17577,                0.11768,                 1.8112,                 3.1752,                 1.6724,               0.007591,               0.007591,               0.007591
                     75,                 1.3126,                 1.5611,                  1.306,                0.20257,                0.30731,                0.18119,                0.12533,                 1.7248,                 3.0362,                 1.5932,               0.007558,               0.007558,               0.007558
                     76,                 1.3021,                 1.5356,                 1.3009,                 0.2325,                0.29859,                0.18871,                0.12785,                 1.7695,                 3.0337,                 1.6195,               0.007525,               0.007525,               0.007525
                     77,                 1.2864,                 1.5488,                 1.2997,                0.23283,                0.33046,                0.19688,                0.13105,                 1.7275,                 3.1652,                 1.6202,               0.007492,               0.007492,               0.007492
                     78,                 1.2984,                 1.5294,                 1.2871,                0.21197,                0.35077,                0.18566,                0.12581,                 1.7015,                 3.2636,                 1.5837,               0.007459,               0.007459,               0.007459
                     79,                 1.2937,                 1.5207,                 1.2896,                0.20406,                0.29591,                0.18288,                0.12363,                 1.7244,                 3.1635,                 1.6191,               0.007426,               0.007426,               0.007426
                     80,                 1.2989,                 1.4905,                  1.289,                0.22395,                0.30563,                0.18416,                0.12343,                 1.7684,                 3.0859,                 1.6157,               0.007393,               0.007393,               0.007393
                     81,                 1.2484,                 1.4621,                 1.2682,                0.21513,                0.35953,                 0.1961,                0.12999,                 1.7263,                 3.0107,                  1.615,                0.00736,                0.00736,                0.00736
                     82,                 1.2751,                 1.4805,                 1.2876,                0.20728,                0.34693,                0.18674,                0.12612,                  1.731,                 3.4451,                 1.6441,               0.007327,               0.007327,               0.007327
                     83,                 1.2633,                   1.47,                 1.2808,                0.20029,                0.35401,                 0.1914,                0.12816,                 1.7049,                  3.082,                 1.5965,               0.007294,               0.007294,               0.007294
                     84,                  1.273,                   1.48,                 1.2852,                0.21718,                0.30189,                0.17939,                0.12068,                 1.7743,                  3.331,                 1.6311,               0.007261,               0.007261,               0.007261
                     85,                 1.2673,                 1.4393,                 1.2621,                0.23089,                0.32946,                0.19301,                0.12601,                 1.7322,                 3.2736,                 1.6116,               0.007228,               0.007228,               0.007228
                     86,                 1.2726,                 1.4504,                 1.2815,                 0.2087,                0.34086,                0.19105,                0.12564,                 1.7296,                 3.6391,                 1.6119,               0.007195,               0.007195,               0.007195
                     87,                  1.258,                 1.4449,                 1.2762,                0.19832,                0.30337,                0.17386,                0.12019,                 1.7875,                 3.1046,                 1.6614,               0.007162,               0.007162,               0.007162
                     88,                 1.2547,                 1.4181,                 1.2632,                0.22472,                0.34977,                0.19094,                0.12827,                  1.737,                 3.5389,                 1.6122,               0.007129,               0.007129,               0.007129
                     89,                 1.2452,                 1.3949,                  1.261,                0.20549,                0.34387,                0.18415,                0.12279,                 1.7473,                 3.4411,                 1.6253,               0.007096,               0.007096,               0.007096
                     90,                 1.2576,                 1.4264,                 1.2741,                0.20678,                0.30359,                 0.1769,                0.12026,                 1.7593,                 3.1978,                 1.6505,               0.007063,               0.007063,               0.007063
                     91,                 1.2358,                 1.4072,                 1.2696,                0.22056,                 0.3591,                 0.1947,                0.12746,                  1.701,                  3.547,                 1.6253,                0.00703,                0.00703,                0.00703
                     92,                 1.2174,                 1.3716,                  1.252,                0.23229,                0.33248,                0.19658,                 0.1287,                  1.698,                 3.3593,                 1.6084,               0.006997,               0.006997,               0.006997
                     93,                 1.2294,                  1.392,                 1.2627,                0.21019,                0.38607,                0.18454,                0.12399,                 1.7131,                 3.8077,                 1.6377,               0.006964,               0.006964,               0.006964
                     94,                 1.2381,                 1.3777,                 1.2602,                0.23775,                0.32508,                0.19266,                0.12883,                 1.7109,                 3.5495,                 1.6223,               0.006931,               0.006931,               0.006931
                     95,                 1.2366,                 1.3664,                 1.2504,                0.23075,                0.33766,                0.18701,                0.12427,                 1.7516,                 3.6056,                 1.6473,               0.006898,               0.006898,               0.006898
                     96,                 1.2175,                 1.3582,                   1.24,                 0.2118,                0.34995,                0.19274,                0.12514,                 1.7096,                 3.6635,                  1.605,               0.006865,               0.006865,               0.006865
                     97,                 1.2192,                 1.3729,                 1.2451,                0.22189,                 0.3199,                 0.1859,                 0.1255,                 1.7057,                 3.5958,                 1.6471,               0.006832,               0.006832,               0.006832
                     98,                 1.2231,                 1.3782,                 1.2593,                0.21365,                 0.3792,                0.19463,                0.12826,                 1.7168,                 3.7104,                 1.6366,               0.006799,               0.006799,               0.006799
                     99,                  1.222,                 1.3472,                 1.2449,                0.21948,                0.36284,                0.18806,                0.12621,                 1.7357,                 3.3896,                 1.6302,               0.006766,               0.006766,               0.006766
                    100,                 1.1929,                 1.3276,                 1.2402,                0.24445,                0.31811,                0.19827,                0.13059,                 1.7127,                  3.451,                  1.641,               0.006733,               0.006733,               0.006733
                    101,                 1.1918,                 1.3233,                 1.2371,                 0.2207,                0.33266,                0.19776,                0.13142,                  1.785,                 3.6492,                 1.6932,                 0.0067,                 0.0067,                 0.0067
